slot,present_in,klass,subs,faces,distinct_md5s,face_set
2,24,FIXED,3,210,15,210
3,24,FIXED,3,296,16,296
4,24,FIXED,3,267,13,267
10,12,FIXED,21,524,11,524
11,12,FIXED,21,508,12,508
12,12,FIXED,21,508,12,508
13,12,FIXED,21,399,7,399
14,12,FIXED,21,478,6,478
15,12,FIXED,21,386,6,386
16,12,FIXED,21,451,11,451
17,12,FIXED,21,472,12,472
18,12,FIXED,21,463,6,463
19,12,FIXED,21,644,12,644
20,12,FIXED,21,492,7,492
21,12,FIXED,21,542,11,542
22,12,FIXED,21,483,10,483
23,12,FIXED,21,544,12,544
24,12,FIXED,21,519,12,519
26,12,FIXED,21,522,12,522
27,12,FIXED,21,439,8,439
28,12,FIXED,21,445,8,445
29,12,FIXED,21,483,8,483
31,12,FIXED,27,347,12,347
32,12,FIXED,27,409,5,409
33,12,FIXED,27,395,11,395
36,12,FIXED,27,445,5,445
37,12,FIXED,3,354,9,354
38,12,FIXED,3,538,10,538
40,12,FIXED,3,432,7,432
41,12,FIXED,3,463,6,463
44,72,FIXED,3,105,28,105
45,72,FIXED,3,113,21,113
46,72,FIXED,3,121,28,121
47,72,FIXED,3,99,17,99
48,72,FIXED,3,103,15,103
49,72,FIXED,3,109,15,109
50,72,FIXED,3,115,17,115
51,72,FIXED,3,93,17,93
52,72,FIXED,3,107,15,107
53,72,FIXED,3,105,17,105
60,72,VARIABLE,6,102,22,"51,102"
61,72,VARIABLE,6,94,14,"47,94"
62,72,VARIABLE,6,186,32,"93,186"
63,72,VARIABLE,6,86,15,"43,86"
64,72,VARIABLE,6,126,14,"63,126"
65,72,VARIABLE,6,126,14,"63,126"
70,60,FIXED,3,45,53,45
71,54,FIXED,3,104,54,104
72,54,FIXED,3,137,54,137
73,54,FIXED,3,155,54,155
74,54,FIXED,3,153,54,153
75,54,FIXED,3,87,54,87
76,54,FIXED,3,129,54,129
77,54,VARIABLE,3,121,54,"121,142"
78,54,FIXED,3,163,54,163
79,54,FIXED,3,183,54,183
80,54,FIXED,3,177,54,177
81,54,FIXED,3,183,54,183
82,54,FIXED,3,175,54,175
83,54,FIXED,3,171,54,171
84,54,FIXED,3,121,54,121
85,54,FIXED,3,170,54,170
88,18,FIXED,21,296,18,296
89,18,FIXED,21,235,18,235
90,18,FIXED,21,321,18,321
91,18,FIXED,21,352,18,352
92,18,FIXED,21,356,18,356
93,18,FIXED,21,402,18,402
94,18,FIXED,21,426,18,426
95,18,FIXED,21,314,18,314
96,18,FIXED,24,362,18,362
97,18,FIXED,24,365,18,365
98,18,FIXED,24,368,17,368
99,18,FIXED,24,130,17,130
100,18,FIXED,24,406,17,406
101,18,FIXED,24,158,16,158
102,18,FIXED,24,516,18,516
103,18,FIXED,24,454,18,454
108,72,FIXED,6,69,34,69
109,72,FIXED,6,100,35,100
110,72,FIXED,6,68,32,68
111,72,FIXED,6,77,32,77
112,72,FIXED,6,31,32,31
113,72,FIXED,6,99,32,99
114,72,FIXED,6,71,32,71
115,72,FIXED,6,39,32,39
116,72,FIXED,6,35,32,35
117,72,FIXED,6,61,32,61
118,72,FIXED,6,73,32,73
119,72,FIXED,6,99,35,99
120,72,FIXED,6,61,34,61
121,72,FIXED,6,93,33,93
122,72,FIXED,6,47,32,47
123,72,FIXED,6,77,32,77
124,72,FIXED,6,69,32,69
125,72,VARIABLE,6,116,38,"116,144,186"
126,72,VARIABLE,6,189,43,"189,234"
127,72,VARIABLE,6,137,29,"137,182"
128,72,FIXED,6,144,29,144
129,72,VARIABLE,6,109,29,"109,156"
130,72,VARIABLE,6,127,29,"127,171"
131,72,VARIABLE,6,80,29,"80,103"
132,72,FIXED,6,45,19,45
133,72,FIXED,6,79,18,79
134,72,FIXED,6,45,14,45
135,72,VARIABLE,6,67,14,"41,67"
136,72,FIXED,6,79,21,79
137,72,FIXED,6,113,19,113
138,72,FIXED,6,101,15,101
139,72,FIXED,6,83,33,83
140,72,FIXED,6,73,32,73
141,72,FIXED,6,131,32,131
142,72,FIXED,6,69,35,69
143,72,FIXED,6,100,35,100
144,72,FIXED,6,68,32,68
145,72,FIXED,6,77,32,77
146,72,FIXED,6,31,33,31
147,72,FIXED,6,99,32,99
148,72,FIXED,6,71,32,71
149,72,FIXED,6,39,32,39
150,72,FIXED,6,35,32,35
151,72,FIXED,6,61,33,61
152,72,FIXED,6,73,32,73
153,72,FIXED,6,99,36,99
154,72,FIXED,6,61,35,61
155,72,FIXED,6,93,34,93
156,72,FIXED,6,47,32,47
157,72,FIXED,6,77,32,77
158,72,FIXED,6,69,32,69
159,72,VARIABLE,6,116,39,"116,144,186"
160,72,VARIABLE,6,175,44,"175,189,234"
161,72,VARIABLE,6,137,31,"137,182"
162,72,FIXED,6,144,31,144
163,72,VARIABLE,6,109,31,"109,156"
164,72,VARIABLE,6,127,36,"127,171"
165,72,VARIABLE,6,80,31,"80,103"
166,72,FIXED,6,45,19,45
167,72,FIXED,6,79,17,79
168,72,FIXED,6,45,13,45
169,72,FIXED,6,67,14,67
170,72,FIXED,6,79,22,79
171,72,FIXED,6,113,18,113
172,72,FIXED,6,101,13,101
173,72,FIXED,6,84,34,84
174,72,FIXED,6,73,32,73
175,72,FIXED,6,131,47,131
