type_hw7,name,n_missions,total_instances,missions,has_objobj_init_same_id,note
0,,23,59,3 6 8 9 11 15 17 18 23 26 32 33 35 37 38 42 45 46 48 80 81 84 93,,no objobj INIT slot with this (low) id in spawning missions
1,,17,21,3 6 8 9 15 23 30 31 33 38 40 42 43 45 46 82 93,3 6 8 9 15 23 30 31 33 38 40 42 43 45 46,
2,,7,8,6 10 12 40 43 46 93,6 12 40 43 46,
3,,10,27,3 8 14 17 23 33 35 36 82 92,8 14,
4,,7,9,2 18 19 36 40 90 93,18,
5,,14,16,1 2 3 6 8 9 21 23 26 32 36 41 90 93,6 8,
6,,10,15,2 3 8 15 18 19 38 41 42 90,18,
7,,16,27,0 9 22 23 26 27 30 31 32 33 35 42 43 60 70 92,,no objobj INIT slot with this (low) id in spawning missions
8,,15,28,0 2 3 5 19 22 27 30 31 32 41 60 70 82 90,,no objobj INIT slot with this (low) id in spawning missions
9,,10,19,3 9 11 15 19 30 31 36 37 42,,no objobj INIT slot with this (low) id in spawning missions
10,,6,8,3 15 18 25 30 31,,no objobj INIT slot with this (low) id in spawning missions
11,,8,18,3 6 9 17 36 40 46 93,,no objobj INIT slot with this (low) id in spawning missions
12,,8,13,3 5 13 18 22 26 32 94,,no objobj INIT slot with this (low) id in spawning missions
13,,8,9,2 9 12 19 22 38 42 90,,no objobj INIT slot with this (low) id in spawning missions
14,,10,21,5 6 8 19 32 35 40 43 46 93,,no objobj INIT slot with this (low) id in spawning missions
15,,7,9,3 5 10 11 31 32 43,,no objobj INIT slot with this (low) id in spawning missions
16,,9,11,6 13 22 30 31 35 40 93 94,,global resource id; outside INIT table range
17,,9,14,1 3 9 18 22 30 31 32 70,,global resource id; outside INIT table range
18,,8,16,3 11 17 30 31 32 43 44,,global resource id; outside INIT table range
19,,7,8,1 3 6 9 22 40 93,,global resource id; outside INIT table range
20,,11,22,2 3 6 22 35 40 42 44 46 90 93,,global resource id; outside INIT table range
21,,8,11,1 3 4 11 18 30 44 81,,global resource id; outside INIT table range
22,,8,10,2 3 6 9 12 46 90 93,,global resource id; outside INIT table range
23,,11,16,3 6 13 14 18 30 31 38 46 81 93,,global resource id; outside INIT table range
24,,6,17,1 3 12 14 30 31,,global resource id; outside INIT table range
25,,5,5,0 1 31 33 44,,global resource id; outside INIT table range
26,,7,11,1 3 9 18 19 30 31,,global resource id; outside INIT table range
27,,4,5,3 9 33 41,,global resource id; outside INIT table range
28,,4,5,3 9 41 46,,global resource id; outside INIT table range
29,,8,15,2 3 4 9 30 31 37 90,,global resource id; outside INIT table range
30,,5,5,2 31 33 70 90,,global resource id; outside INIT table range
31,,3,4,18 33 47,,global resource id; outside INIT table range
32,,4,6,3 6 40 93,,global resource id; outside INIT table range
33,,7,16,2 3 10 12 31 41 90,,global resource id; outside INIT table range
34,,13,19,0 6 11 25 27 30 31 35 38 40 42 60 93,,global resource id; outside INIT table range
35,,3,5,3 40 93,,global resource id; outside INIT table range
36,,3,3,3 18 46,,global resource id; outside INIT table range
37,,7,10,2 3 8 15 35 42 90,,global resource id; outside INIT table range
38,,6,13,3 6 11 25 49 93,,global resource id; outside INIT table range
39,,4,6,2 3 46 90,,global resource id; outside INIT table range
40,,8,17,1 3 8 18 21 46 47 91,,global resource id; outside INIT table range
41,,4,6,8 30 31 93,,global resource id; outside INIT table range
42,,3,3,8 18 43,,global resource id; outside INIT table range
43,,8,15,1 3 12 17 18 21 47 91,,global resource id; outside INIT table range
44,,10,19,1 3 6 10 12 40 44 46 48 93,,global resource id; outside INIT table range
45,,4,5,12 18 26 33,,global resource id; outside INIT table range
46,,10,13,1 3 15 17 18 30 31 38 42 45,,global resource id; outside INIT table range
47,,8,10,1 2 18 30 31 42 45 90,,global resource id; outside INIT table range
48,,1,1,12,,global resource id; outside INIT table range
49,,3,3,25 30 31,,global resource id; outside INIT table range
50,,3,5,1 18 43,,global resource id; outside INIT table range
51,,6,6,18 25 30 31 43 44,,global resource id; outside INIT table range
52,,2,3,18 38,,global resource id; outside INIT table range
53,,3,4,1 30 31,,global resource id; outside INIT table range
54,,4,6,18 38 44 48,,global resource id; outside INIT table range
55,,2,4,12 48,,global resource id; outside INIT table range
56,,4,5,30 31 38 48,,global resource id; outside INIT table range
57,,3,3,12 38 43,,global resource id; outside INIT table range
58,,3,4,1 3 12,,global resource id; outside INIT table range
59,,4,4,3 12 17 18,,global resource id; outside INIT table range
60,,4,4,3 12 18 44,,global resource id; outside INIT table range
61,,1,1,17,,global resource id; outside INIT table range
62,,5,5,1 2 13 25 90,,global resource id; outside INIT table range
63,,2,2,9 18,,global resource id; outside INIT table range
64,,1,1,37,,global resource id; outside INIT table range
65,,5,5,3 18 35 38 46,,global resource id; outside INIT table range
66,,2,2,30 31,,global resource id; outside INIT table range
67,,3,5,25 30 31,,global resource id; outside INIT table range
68,,2,2,34 38,,global resource id; outside INIT table range
69,,3,3,1 34 38,,global resource id; outside INIT table range
70,,3,5,18 19 34,,global resource id; outside INIT table range
71,,4,5,15 18 19 34,,global resource id; outside INIT table range
72,,2,2,35 38,,global resource id; outside INIT table range
73,,3,3,34 38 48,,global resource id; outside INIT table range
74,,2,2,38 45,,global resource id; outside INIT table range
75,,6,8,15 18 19 43 45 49,,global resource id; outside INIT table range
76,,2,3,7 19,,global resource id; outside INIT table range
77,,6,9,1 18 34 35 38 45,,global resource id; outside INIT table range
78,,3,3,34 35 48,,global resource id; outside INIT table range
79,,4,4,12 18 44 45,,global resource id; outside INIT table range
80,,4,4,13 17 30 31,,global resource id; outside INIT table range
81,,3,3,18 37 46,,global resource id; outside INIT table range
82,,3,3,12 18 38,,global resource id; outside INIT table range
83,,5,5,18 25 30 31 48,,global resource id; outside INIT table range
84,,7,9,12 15 21 42 47 48 91,,global resource id; outside INIT table range
85,,6,7,7 15 35 42 45 48,,global resource id; outside INIT table range
86,,4,4,21 30 31 48,,global resource id; outside INIT table range
87,,6,8,7 18 35 38 42 45,,global resource id; outside INIT table range
88,,5,6,7 12 42 43 45,,global resource id; outside INIT table range
89,,2,3,7 43,,global resource id; outside INIT table range
90,,6,8,1 30 31 35 38 44,,global resource id; outside INIT table range
91,,3,3,18 35 37,,global resource id; outside INIT table range
92,,8,13,12 18 21 35 46 47 49 91,,global resource id; outside INIT table range
93,,8,8,1 18 21 30 31 35 47 91,,global resource id; outside INIT table range
94,,2,2,43 45,,global resource id; outside INIT table range
96,,4,5,1 7 35 38,,global resource id; outside INIT table range
97,,2,2,18 35,,global resource id; outside INIT table range
98,,2,2,45 49,,global resource id; outside INIT table range
99,,3,3,1 18 35,,global resource id; outside INIT table range
100,,4,6,19 35 42 45,,global resource id; outside INIT table range
101,,2,2,19 49,,global resource id; outside INIT table range
102,,2,2,10 15,,global resource id; outside INIT table range
103,,3,3,7 37 45,,global resource id; outside INIT table range
104,,1,1,17,,global resource id; outside INIT table range
105,,1,1,17,,global resource id; outside INIT table range
106,,2,4,12 18,,global resource id; outside INIT table range
109,,3,3,17 18 43,,global resource id; outside INIT table range
110,,6,6,7 18 21 46 47 91,,global resource id; outside INIT table range
111,,7,7,21 30 31 41 47 49 91,,global resource id; outside INIT table range
112,,3,5,1 7 18,,global resource id; outside INIT table range
113,,6,6,15 18 30 31 46 49,,global resource id; outside INIT table range
114,,4,5,7 35 45 49,,global resource id; outside INIT table range
115,,4,5,15 37 42 49,,global resource id; outside INIT table range
116,,3,6,15 42 49,,global resource id; outside INIT table range
117,,6,6,7 17 21 41 47 91,,global resource id; outside INIT table range
118,,3,3,18 19 43,,global resource id; outside INIT table range
119,,7,9,7 18 19 21 30 31 46,,global resource id; outside INIT table range
120,,1,1,37,,global resource id; outside INIT table range
121,,6,6,17 18 21 35 45 49,,global resource id; outside INIT table range
122,,3,3,17 18 43,,global resource id; outside INIT table range
123,,2,2,30 31,,global resource id; outside INIT table range
124,,1,1,17,,global resource id; outside INIT table range
125,,1,1,18,,global resource id; outside INIT table range
126,,3,5,12 43 45,,global resource id; outside INIT table range
127,,5,6,4 9 12 18 42,,global resource id; outside INIT table range
128,,2,2,9 19,,global resource id; outside INIT table range
129,,6,9,18 19 30 31 35 45,,global resource id; outside INIT table range
130,,3,4,7 18 41,,global resource id; outside INIT table range
131,,3,4,7 18 41,,global resource id; outside INIT table range
132,,2,2,18 45,,global resource id; outside INIT table range
134,,3,4,7 18 45,,global resource id; outside INIT table range
135,,1,1,45,,global resource id; outside INIT table range
136,,2,3,41 45,,global resource id; outside INIT table range
137,,1,1,41,,global resource id; outside INIT table range
138,,2,2,35 41,,global resource id; outside INIT table range
139,,2,2,4 18,,global resource id; outside INIT table range
140,,1,1,47,,global resource id; outside INIT table range
141,,4,4,35 37 44 46,,global resource id; outside INIT table range
142,,4,4,15 19 42 44,,global resource id; outside INIT table range
143,,3,3,7 35 47,,global resource id; outside INIT table range
144,,5,7,7 21 35 41 46,,global resource id; outside INIT table range
145,,7,9,5 15 19 30 31 41 46,,global resource id; outside INIT table range
146,,1,3,5,,global resource id; outside INIT table range
147,,7,9,18 35 41 43 44 46 49,,global resource id; outside INIT table range
148,,1,2,18,,global resource id; outside INIT table range
151,,7,11,7 12 15 17 37 42 47,,global resource id; outside INIT table range
152,,3,3,17 35 47,,global resource id; outside INIT table range
153,,4,5,18 35 44 47,,global resource id; outside INIT table range
154,,3,5,7 12 35,,global resource id; outside INIT table range
155,,2,2,5 12,,global resource id; outside INIT table range
156,,2,2,5 7,,global resource id; outside INIT table range
157,,3,3,5 30 31,,global resource id; outside INIT table range
158,,3,4,5 12 46,,global resource id; outside INIT table range
159,,2,2,5 18,,global resource id; outside INIT table range
160,,4,4,5 7 18 35,,global resource id; outside INIT table range
161,,2,5,7 46,,global resource id; outside INIT table range
