mission,namespace,type,count,init_ptr,hp_values,resource_ids
0,spawn_hw7,7,2,,,
0,spawn_hw7,8,2,,,
0,spawn_hw7,25,1,,,
0,spawn_hw7,34,1,,,
0,spawn_logical_hw3,-1,1,(no INIT),0,7
0,spawn_logical_hw3,0,3,(no INIT),0,7 8
0,spawn_logical_hw3,1,2,0x801c52c0,5200,25 34
0,objobj_init,1,,0x801c52c0,,
1,spawn_hw7,5,1,,,
1,spawn_hw7,17,1,,,
1,spawn_hw7,19,1,,,
1,spawn_hw7,21,1,,,
1,spawn_hw7,24,1,,,
1,spawn_hw7,25,1,,,
1,spawn_hw7,26,1,,,
1,spawn_hw7,40,1,,,
1,spawn_hw7,43,1,,,
1,spawn_hw7,44,1,,,
1,spawn_hw7,46,1,,,
1,spawn_hw7,47,1,,,
1,spawn_hw7,50,1,,,
1,spawn_hw7,53,1,,,
1,spawn_hw7,58,1,,,
1,spawn_hw7,62,1,,,
1,spawn_hw7,69,1,,,
1,spawn_hw7,77,3,,,
1,spawn_hw7,90,1,,,
1,spawn_hw7,93,1,,,
1,spawn_hw7,96,1,,,
1,spawn_hw7,99,1,,,
1,spawn_hw7,112,3,,,
1,spawn_logical_hw3,-1,1,(no INIT),0,77
1,spawn_logical_hw3,0,3,(no INIT),0,77 112
1,spawn_logical_hw3,1,18,0x801c5e60,2050,17 19 21 24 25 40 47 50 53 58 62 69 90 93 96 99 112
1,spawn_logical_hw3,2,1,0x801c5e60,9800,5
1,spawn_logical_hw3,3,4,0x801c5e84,1500,26 43 44 46
1,objobj_init,1,,0x801c5e60,,
1,objobj_init,2,,0x801c5e60,,
1,objobj_init,3,,0x801c5e84,,
2,spawn_hw7,4,1,,,
2,spawn_hw7,5,1,,,
2,spawn_hw7,6,1,,,
2,spawn_hw7,8,1,,,
2,spawn_hw7,13,1,,,
2,spawn_hw7,20,1,,,
2,spawn_hw7,22,1,,,
2,spawn_hw7,29,1,,,
2,spawn_hw7,30,1,,,
2,spawn_hw7,33,5,,,
2,spawn_hw7,37,1,,,
2,spawn_hw7,39,1,,,
2,spawn_hw7,47,1,,,
2,spawn_hw7,62,1,,,
2,spawn_hw7,190,1,,,
2,spawn_hw7,196,1,,,
2,spawn_logical_hw3,-1,5,(no INIT),0 3000 6000,13 29 33 37
2,spawn_logical_hw3,0,3,(no INIT),0,8 62 190
2,spawn_logical_hw3,1,7,0x801c59e8,1300,22 30 33 39 47
2,spawn_logical_hw3,2,4,0x801c5e30,4500,4 5 6 20
2,spawn_logical_hw3,3,1,0x801c6528,6000,196
2,objobj_init,1,,0x801c59e8,,
2,objobj_init,2,,0x801c5e30,,
2,objobj_init,3,,0x801c6528,,
3,spawn_hw7,0,2,,,
3,spawn_hw7,1,1,,,
3,spawn_hw7,3,3,,,
3,spawn_hw7,5,1,,,
3,spawn_hw7,6,1,,,
3,spawn_hw7,8,3,,,
3,spawn_hw7,9,6,,,
3,spawn_hw7,10,1,,,
3,spawn_hw7,11,4,,,
3,spawn_hw7,12,2,,,
3,spawn_hw7,15,2,,,
3,spawn_hw7,17,4,,,
3,spawn_hw7,18,1,,,
3,spawn_hw7,19,2,,,
3,spawn_hw7,20,1,,,
3,spawn_hw7,21,2,,,
3,spawn_hw7,22,2,,,
3,spawn_hw7,23,2,,,
3,spawn_hw7,24,2,,,
3,spawn_hw7,26,2,,,
3,spawn_hw7,27,1,,,
3,spawn_hw7,28,2,,,
3,spawn_hw7,29,4,,,
3,spawn_hw7,32,3,,,
3,spawn_hw7,33,2,,,
3,spawn_hw7,35,3,,,
3,spawn_hw7,36,1,,,
